Time,Monday,Tuesday,Wednesday,Thursday,Friday
09:00 - 09:30,DevOps and its Applications,DevOps and its Applications,Bioinformatics,Bioinformatics,Advanced Optimization Techniques
09:30 - 10:00,DevOps and its Applications,DevOps and its Applications,Bioinformatics,Bioinformatics,Advanced Optimization Techniques
10:00 - 10:30,DevOps and its Applications,DevOps and its Applications,Bioinformatics,Bioinformatics,Advanced Optimization Techniques
10:30 - 11:00,Deep Learning and Applications,Deep Learning and Applications,Deep Computational Imaging,Deep Computational Imaging,Image Processing and Machine Vision
11:00 - 11:30,Deep Learning and Applications,Deep Learning and Applications,Deep Computational Imaging,Deep Computational Imaging,Image Processing and Machine Vision
11:30 - 12:00,Deep Learning and Applications,Deep Learning and Applications,Deep Computational Imaging,Deep Computational Imaging,Image Processing and Machine Vision
12:00 - 12:30,Generative AI (Tut),Foundations of Data Science (Tut),Healthcare Data Analytics (Tut),,
12:30 - 13:00,Generative AI (Tut),Foundations of Data Science (Tut),Healthcare Data Analytics (Tut),,
13:00 - 13:30 ,Lunch Break,Lunch Break,Lunch Break,Lunch Break,Lunch Break
13:30 - 14:00,Lunch Break,Lunch Break,Lunch Break,Lunch Break,Lunch Break
14:00 - 14:30,,,,,
14:30 - 15:00,,,,,
15:00 - 15:30,,,,,
15:30 - 16:00,,,,,
16:00 - 16:30,,,,,
16:30 - 17:30,,,,,
17:00 - 17: 30,,,,,
17:30 - 18:30,,,,,
