Time,Monday,Tuesday,Wednesday,Thursday,Friday
09:00 - 09:30,HS206,HS206,CS208,CS208,MA201
09:30 - 10:00,HS206,HS206,CS208,CS208,MA201
10:00 - 10:30,HS206,HS206,CS208,CS208,MA201
10:30 - 11:00,CS202,CS202,CS201,CS201,CS207
11:00 - 11:30,CS202,CS202,CS201,CS201,CS207
11:30 - 12:00,CS202,CS202,CS201,CS201,CS207
12:00 - 12:30,CS202 (Tut),CS208 (Tut),CS201 (Tut),MA201 (Tut),
12:30 - 13:00,CS202 (Tut),CS208 (Tut),CS201 (Tut),MA201 (Tut),
13:00 - 13:30 ,Lunch Break,Lunch Break,Lunch Break,Lunch Break,Lunch Break
13:30 - 14:00,Lunch Break,Lunch Break,Lunch Break,Lunch Break,Lunch Break
14:00 - 14:30,,,,,
14:30 - 15:00,CS202 (Lab),,CS208 (Lab),CS207 (Lab),
15:00 - 15:30,CS202 (Lab),,CS208 (Lab),CS207 (Lab),
15:30 - 16:00,CS202 (Lab),,CS208 (Lab),CS207 (Lab),
16:00 - 16:30,CS202 (Lab),,CS208 (Lab),CS207 (Lab),
16:30 - 17:30,,,,,
17:00 - 17: 30,,,,,
17:30 - 18:30,,,,,
