Time,Monday,Tuesday,Wednesday,Thursday,Friday
09:00 - 09:30,Statistics,Statistics,Introduction to Cybersecurity,Introduction to Cybersecurity,Introduction to Personal Finance
09:30 - 10:00,Statistics,Statistics,Introduction to Cybersecurity,Introduction to Cybersecurity,Introduction to Personal Finance
10:00 - 10:30,Statistics,Statistics,Introduction to Cybersecurity,Introduction to Cybersecurity,Introduction to Personal Finance
10:30 - 11:00,Introduction to DS & AI,Introduction to DS & AI,Introduction to Quantum Physics,Introduction to Quantum Physics,Introduction to Design
11:00 - 11:30,Introduction to DS & AI,Introduction to DS & AI,Introduction to Quantum Physics,Introduction to Quantum Physics,Introduction to Design
11:30 - 12:00,Introduction to DS & AI,Introduction to DS & AI,Introduction to Quantum Physics,Introduction to Quantum Physics,Introduction to Design
12:00 - 12:30,Statistics (Tut),Introduction to DS & AI (Tut),Introduction to Cybersecurity (Tut),Introduction to Quantum Physics (Tut),Introduction to Personal Finance (Tut)
12:30 - 13:00,Statistics (Tut),Introduction to DS & AI (Tut),Introduction to Cybersecurity (Tut),Introduction to Quantum Physics (Tut),Introduction to Personal Finance (Tut)
13:00 - 13:30 ,Lunch Break,Lunch Break,Lunch Break,Lunch Break,Lunch Break
13:30 - 14:00,Lunch Break,Lunch Break,Lunch Break,Lunch Break,Lunch Break
14:00 - 14:30,,,,,
14:30 - 15:00,Introduction to Design (Lab),,Digital Design (Lab),Problem Solving through Programming (Lab),
15:00 - 15:30,Introduction to Design (Lab),,Digital Design (Lab),Problem Solving through Programming (Lab),
15:30 - 16:00,Introduction to Design (Lab),,Digital Design (Lab),Problem Solving through Programming (Lab),
16:00 - 16:30,Introduction to Design (Lab),,Digital Design (Lab),Problem Solving through Programming (Lab),
16:30 - 17:30,,,,,
17:00 - 17: 30,,,,,
17:30 - 18:30,,,,,
