Time,Monday,Tuesday,Wednesday,Thursday,Friday
09:00 - 09:30,EC306,EC306,LSB,LSB,ADCS
09:30 - 10:00,EC306,EC306,LSB,LSB,ADCS
10:00 - 10:30,EC306,EC306,LSB,LSB,ADCS
10:30 - 11:00,EC301,EC301,Int2Alg,Int2Alg,Elective 3
11:00 - 11:30,EC301,EC301,Int2Alg,Int2Alg,Elective 3
11:30 - 12:00,EC301,EC301,Int2Alg,Int2Alg,Elective 3
12:00 - 12:30,EC301 (Tut),Int2Alg (Tut),ADCS (Tut),Elective 3 (Tut),
12:30 - 13:00,EC301 (Tut),Int2Alg (Tut),ADCS (Tut),Elective 3 (Tut),
13:00 - 13:30 ,Lunch Break,Lunch Break,Lunch Break,Lunch Break,Lunch Break
13:30 - 14:00,Lunch Break,Lunch Break,Lunch Break,Lunch Break,Lunch Break
14:00 - 14:30,,,,,
14:30 - 15:00,EC306 (Lab),,,,
15:00 - 15:30,EC306 (Lab),,,,
15:30 - 16:00,EC306 (Lab),,,,
16:00 - 16:30,EC306 (Lab),,,,
16:30 - 17:30,,,,,
17:00 - 17: 30,,,,,
17:30 - 18:30,,,,,
